name,desc,price,img
Toyota Sienna,"2017 г., 3.5 л., автомат, минивэн, бензин, руль слева, 143 000 км",$ 32 500,https://im.mashina.kg/tachka/images//2/d/4/2d443b547d98898d4039601e92ce5d26_240x180.jpg
Toyota Fortuner,"2017 г., 2.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 70 000 км",$ 40 500,https://im.mashina.kg/tachka/images//4/2/7/4275c2ac1a6e03196d435be50a629946_240x180.jpg
Lexus RX,"2017 г., 3.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 110 000 км",$ 53 000,https://im.mashina.kg/tachka/images//c/3/b/c3b97d5b92ab907e27615efec4762660_240x180.jpg
Lexus LX,"2015 г., 4.5 л., автомат, внедорожник 5 дв., дизель, руль слева, 125 000 км",$ 88 000,https://im.mashina.kg/tachka/images//9/1/a/91a23ea4736b9bfc914e94d13a580baa_240x180.jpg
Lexus GX,"2007 г., 4.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 175 000 км",$ 26 500,https://im.mashina.kg/tachka/images//f/6/a/f6a2c3b63c6de37200c1ba4bd0fc349d_240x180.jpg
Toyota Highlander,"2017 г., 3.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 62 000 км",$ 41 100,https://im.mashina.kg/tachka/images//3/9/7/397cc0411b734d0fa2f8e1064b899e04_240x180.jpg
Lexus LX,"2014 г., 5.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 40 500 км",$ 65 000,https://im.mashina.kg/tachka/images//a/b/3/ab3f7cb46db72bc50b5b090e64330543_240x180.jpg
Land Rover Range Rover,"2018 г., 4.4 л., автомат, внедорожник 5 дв., дизель, руль слева, 41 000 км",$ 115 000,https://im.mashina.kg/tachka/images//2/c/2/2c285222aec4a03816e29fb21f94e550_240x180.jpg
Genesis GV80,"2020 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 38 000 км",$ 69 000,https://im.mashina.kg/tachka/images//8/d/5/8d5a34db3191fc6569ee5cbdfb95da76_240x180.jpg
Toyota Camry,"2021 г., 2.5 л., автомат, седан, бензин, руль слева, 27 000 км",$ 26 300,https://im.mashina.kg/tachka/images//6/3/1/631e683d113e3c0efaaff086d9db2891_240x180.jpg
Toyota RAV4,"2016 г., 2.5 л., вариатор, внедорожник 5 дв., гибрид, руль слева, 160 000 км",$ 27 500,https://im.mashina.kg/tachka/images//a/2/9/a29a699a99b6af022789ca0c684c743b_240x180.jpg
BMW X5,"2017 г., 3 л., автомат, внедорожник 5 дв., дизель, руль слева, 150 000 км",$ 49 500,https://im.mashina.kg/tachka/images//a/3/6/a36fb2df832fc46d06c6913b3f27e1a5_240x180.jpg
Toyota 4Runner,"2017 г., 4 л., автомат, внедорожник 5 дв., бензин, руль слева, 120 000 км",$ 37 500,https://im.mashina.kg/tachka/images//6/f/3/6f3d18909acce96e97b39456bd181437_240x180.jpg
Ravon R4,"2017 г., 1.5 л., автомат, седан, бензин, руль слева, 40 000 км",$ 10 800,https://im.mashina.kg/tachka/images//5/b/5/5b577b1566c9fa587874c90f6b87a37c_240x180.jpg
Lexus LX,"2012 г., 5.7 л., автомат, внедорожник 5 дв., бензин, руль слева, 200 000 км",$ 46 000,https://im.mashina.kg/tachka/images//b/d/c/bdc05b775f6d6a384e8e637e655a73f7_240x180.jpg
Toyota Land Cruiser,"2012 г., 4.6 л., автомат, внедорожник 5 дв., бензин, руль слева, 139 000 км",$ 49 000,https://im.mashina.kg/tachka/images//6/b/6/6b6b415223149c7ceff9be1187a71575_240x180.jpg
Kia K5 II Седан,"2018 г., 2 л., автомат, седан, газ, руль слева, 158 000 км",$ 17 300,https://im.mashina.kg/tachka/images//e/b/c/ebc9170f358e98295ad38bfc4828c52b_240x180.jpg
BMW 3 серии,"2013 г., 2 л., автомат, седан, бензин, руль слева, 132 000 км",$ 20 500,https://im.mashina.kg/tachka/images//a/a/c/aac4b20f84a6dc7a3170f9142e6af478_240x180.jpg
Toyota Prius,"2020 г., 1.8 л., автомат, хэтчбек 5 дв., гибрид, руль слева, 75 000 км",$ 23 900,https://im.mashina.kg/tachka/images//3/f/3/3f3a4767e6ccb730ca31809a202ec1e2_240x180.jpg
Toyota Alphard,"2007 г., 3 л., автомат, минивэн, бензин, руль справа, 115 590 км",$ 13 500,https://im.mashina.kg/tachka/images//b/6/8/b6822f36b6e7536a5216f197bb955e10_240x180.jpg
